k,Real/Flye Assembly time,Quorum Error Correcting time,Estimating Genome Size time,Super-Reads time,Mega-Reads time,Consensus Gap Joining time,# contigs,N50,largest contig,total length
25,10:06.47,50,103,134,221,252,8,4755151,4755151,5637334
27,10:19.97,49,103,133,208,239,7,4886045,4886045,5606819
29,10:27.27,51,108,139,229,259,6,5231605,5231605,5624519
31,10:08.46,49,104,134,208,238,7,4911153,4911153,5588296
33,10:11.66,49,111,142,212,244,13,4777408,4777408,5573782
35,10:20.79,50,101,132,218,248,5,5231104,5231104,5618418
37,10:16.74,49,102,133,205,237,6,5452176,5452176,5611886
39,9:59.38,50,105,135,208,238,10,4903785,4903785,5600090
41,10:10.90,48,102,133,202,234,8,4886012,4886012,5592299
43,10:16.87,50,105,136,208,239,6,5231418,5231418,5587672
45,10:11.77,50,103,133,220,251,6,5231872,5231872,5588125
47,10:37.32,52,103,133,222,253,7,4321607,4321607,5591599
49,9:53.27,49,99,129,201,232,6,5231084,5231084,5624193
51,10:10.78,50,100,130,207,238,8,4891407,4891407,5607486
53,10:40.13,49,99,129,216,247,10,4318992,4318992,5593355
55,10:18.25,51,106,136,219,250,6,5231519,5231519,5587848
57,10:05.86,50,103,132,203,234,7,4877494,4877494,5591270
59,9:59.69,50,101,133,202,234,10,4322196,4322196,5615625
61,10:16.01,49,116,146,217,249,7,5231470,5231470,5632019
63,10:23.57,50,114,145,230,262,9,4914269,4914269,5637347
65,10:33.21,50,114,145,229,261,9,4562886,4562886,5594656
67,10:23.81,50,113,144,215,247,7,4910932,4910932,5588042
69,10:25.13,49,113,144,217,249,6,5230383,5230383,5586707
71,10:38.93,51,113,143,236,268,7,4911258,4911258,5588351
73,10:23.38,50,114,144,214,246,5,5453434,5453434,5605553
75,10:37.13,48,113,143,225,257,5,5453179,5453179,5605239
77,10:37.35,49,110,141,212,247,6,5452856,5452856,5612570
79,10:44.76,49,111,141,213,249,8,4892392,4892392,5608174
81,10:26.33,50,116,146,219,255,6,5231904,5231904,5588164
83,10:37.28,50,110,141,216,247,9,4573339,4573339,5608363
85,10:22.05,50,94,123,206,238,7,4910776,4910776,5587854
87,10:12.07,50,99,129,208,240,9,4567127,4567127,5585662
89,10:22.10,49,108,137,211,242,9,4567256,4567256,5589201
91,9:48.78,49,93,122,191,223,8,5231483,5231483,5660057
93,7:54.00,49,93,122,186,213,7,4911079,4911079,5637969
95,7:57.05,50,96,125,188,215,7,4911077,4911077,5588242
97,7:57.36,49,95,124,181,208,10,4733593,4733593,5601072
99,7:44.82,50,96,125,172,199,7,4910795,4910795,5587900
101,8:03.01,49,94,124,182,210,5,5453203,5453203,5605242
103,7:49.78,50,95,124,181,209,7,4911185,4911185,5588350
105,8:00.71,49,88,117,188,216,8,4911002,4911002,5595723
107,7:45.01,50,92,121,177,204,7,4911084,4911084,5588151
109,7:43.26,50,94,123,168,195,7,4910978,4910978,5637954
111,8:08.57,51,93,122,193,221,6,5231911,5231911,5625004
113,7:47.14,50,92,121,182,209,7,4910783,4910783,5590122
115,7:52.89,50,92,121,183,211,8,4911119,4911119,5591697
117,7:51.19,49,90,119,173,201,7,4910922,4910922,5587921
119,8:27.65,49,100,129,199,227,9,4563219,4563219,5592340
121,7:58.09,49,98,127,187,214,8,4911181,4911181,5591969
123,8:05.67,50,98,127,184,211,7,5121781,5121781,5626005
125,8:12.23,50,99,128,196,224,7,4910941,4910941,5587989
127,7:40.49,51,99,126,171,199,7,4910853,4910853,5588010
